year,round,from_country_id,to_country_id,total_points,tele_points,jury_points
2026,f,ch,dk,3,0,3
2026,f,ua,dk,7,7,0
2026,f,lu,dk,5,0,5
2026,f,bg,dk,1,0,1
2026,f,az,dk,7,7,0
2026,f,sm,dk,1,0,1
2026,f,ee,dk,10,2,8
2026,f,il,dk,16,6,10
2026,f,au,dk,8,3,5
2026,f,de,dk,4,0,4
2026,f,pt,dk,10,0,10
2026,f,se,dk,20,10,10
2026,f,al,dk,5,0,5
2026,f,cy,dk,6,0,6
2026,f,ge,dk,4,4,0
2026,f,am,dk,11,6,5
2026,f,pl,dk,3,3,0
2026,f,cz,dk,13,1,12
2026,f,fr,dk,10,0,10
2026,f,no,dk,24,12,12
2026,f,fi,dk,18,8,10
2026,f,gb,dk,6,0,6
2026,f,lv,dk,8,3,5
2026,f,rs,dk,6,0,6
2026,f,hr,dk,10,0,10
2026,f,lt,dk,10,6,4
2026,f,ro,dk,7,0,7
2026,f,at,dk,10,0,10
2026,f,bg,de,2,0,2
2026,f,be,de,2,0,2
2026,f,pt,de,4,0,4
2026,f,it,de,4,0,4
2026,f,ch,il,14,12,2
2026,f,mt,il,11,7,4
2026,f,ua,il,15,5,10
2026,f,lu,il,1,1,0
2026,f,bg,il,12,5,7
2026,f,az,il,16,12,4
2026,f,sm,il,7,3,4
2026,f,ee,il,1,1,0
2026,f,de,il,15,12,3
2026,f,be,il,9,8,1
2026,f,pt,il,12,12,0
2026,f,se,il,7,7,0
2026,f,al,il,18,10,8
2026,f,cy,il,8,8,0
2026,f,ge,il,16,10,6
2026,f,me,il,4,4,0
2026,f,am,il,14,7,7
2026,f,pl,il,14,2,12
2026,f,gr,il,5,5,0
2026,f,cz,il,7,5,2
2026,f,dk,il,9,2,7
2026,f,fr,il,16,12,4
2026,f,no,il,6,5,1
2026,f,it,il,8,8,0
2026,f,fi,il,12,12,0
2026,f,gb,il,10,10,0
2026,f,lv,il,4,4,0
2026,f,rs,il,8,4,4
2026,f,md,il,18,8,10
2026,f,hr,il,5,0,5
2026,f,lt,il,8,0,8
2026,f,ro,il,12,6,6
2026,f,at,il,15,7,8
2026,f,ROW,il,6,6,0
2026,f,ee,be,2,0,2
2026,f,il,be,2,0,2
2026,f,pl,be,6,0,6
2026,f,it,be,12,0,12
2026,f,fi,be,4,0,4
2026,f,lv,be,10,0,10
2026,f,ch,al,7,7,0
2026,f,mt,al,12,6,6
2026,f,lu,al,3,3,0
2026,f,bg,al,8,8,0
2026,f,az,al,6,0,6
2026,f,sm,al,6,1,5
2026,f,il,al,2,1,1
2026,f,be,al,5,2,3
2026,f,pt,al,12,0,12
2026,f,cy,al,8,0,8
2026,f,me,al,20,10,10
2026,f,gr,al,9,8,1
2026,f,dk,al,1,1,0
2026,f,fr,al,4,4,0
2026,f,no,al,3,3,0
2026,f,it,al,7,7,0
2026,f,rs,al,1,1,0
2026,f,md,al,5,5,0
2026,f,hr,al,16,8,8
2026,f,ro,al,5,5,0
2026,f,ROW,al,5,5,0
2026,f,ch,gr,6,6,0
2026,f,mt,gr,2,2,0
2026,f,lu,gr,8,8,0
2026,f,bg,gr,12,12,0
2026,f,sm,gr,18,12,6
2026,f,ee,gr,6,3,3
2026,f,il,gr,10,5,5
2026,f,au,gr,10,8,2
2026,f,de,gr,8,8,0
2026,f,be,gr,6,6,0
2026,f,se,gr,8,4,4
2026,f,al,gr,10,8,2
2026,f,cy,gr,24,12,12
2026,f,ge,gr,5,5,0
2026,f,me,gr,8,2,6
2026,f,am,gr,7,4,3
2026,f,pl,gr,8,0,8
2026,f,cz,gr,6,6,0
2026,f,fr,gr,3,3,0
2026,f,it,gr,4,4,0
2026,f,gb,gr,4,4,0
2026,f,lv,gr,3,2,1
2026,f,rs,gr,20,8,12
2026,f,md,gr,11,3,8
2026,f,hr,gr,3,3,0
2026,f,ro,gr,3,3,0
2026,f,at,gr,3,2,1
2026,f,ROW,gr,4,4,0
2026,f,ch,ua,12,0,12
2026,f,lu,ua,4,4,0
2026,f,bg,ua,7,7,0
2026,f,az,ua,14,4,10
2026,f,ee,ua,8,8,0
2026,f,il,ua,4,4,0
2026,f,de,ua,2,2,0
2026,f,be,ua,5,5,0
2026,f,pt,ua,13,10,3
2026,f,se,ua,5,5,0
2026,f,al,ua,7,7,0
2026,f,cy,ua,4,4,0
2026,f,ge,ua,12,12,0
2026,f,me,ua,5,5,0
2026,f,pl,ua,13,12,1
2026,f,cz,ua,12,12,0
2026,f,dk,ua,7,7,0
2026,f,fr,ua,12,6,6
2026,f,no,ua,2,2,0
2026,f,it,ua,13,6,7
2026,f,fi,ua,4,4,0
2026,f,gb,ua,9,2,7
2026,f,lv,ua,12,5,7
2026,f,md,ua,10,10,0
2026,f,hr,ua,1,1,0
2026,f,lt,ua,7,7,0
2026,f,ro,ua,5,4,1
2026,f,at,ua,4,4,0
2026,f,ROW,ua,8,8,0
2026,f,ch,au,11,5,6
2026,f,mt,au,18,10,8
2026,f,ua,au,2,0,2
2026,f,lu,au,10,0,10
2026,f,bg,au,8,0,8
2026,f,az,au,5,5,0
2026,f,sm,au,5,5,0
2026,f,ee,au,5,5,0
2026,f,il,au,22,10,12
2026,f,de,au,5,0,5
2026,f,be,au,11,1,10
2026,f,pt,au,4,4,0
2026,f,se,au,14,6,8
2026,f,al,au,5,4,1
2026,f,cy,au,10,5,5
2026,f,ge,au,2,2,0
2026,f,me,au,1,1,0
2026,f,am,au,22,10,12
2026,f,pl,au,12,5,7
2026,f,gr,au,10,3,7
2026,f,cz,au,6,0,6
2026,f,dk,au,9,5,4
2026,f,fr,au,5,0,5
2026,f,no,au,13,6,7
2026,f,it,au,1,1,0
2026,f,fi,au,7,0,7
2026,f,gb,au,10,7,3
2026,f,rs,au,5,3,2
2026,f,md,au,4,0,4
2026,f,hr,au,11,4,7
2026,f,lt,au,2,2,0
2026,f,ro,au,13,1,12
2026,f,at,au,17,10,7
2026,f,ROW,au,2,2,0
2026,f,mt,rs,1,1,0
2026,f,ua,rs,3,3,0
2026,f,az,rs,8,0,8
2026,f,al,rs,3,3,0
2026,f,ge,rs,3,3,0
2026,f,me,rs,24,12,12
2026,f,pl,rs,1,1,0
2026,f,gr,rs,5,0,5
2026,f,cz,rs,2,2,0
2026,f,fr,rs,1,0,1
2026,f,fi,rs,3,3,0
2026,f,md,rs,1,1,0
2026,f,hr,rs,24,12,12
2026,f,lt,rs,1,1,0
2026,f,ro,rs,10,10,0
2026,f,ua,mt,12,0,12
2026,f,lu,mt,2,0,2
2026,f,bg,mt,14,2,12
2026,f,az,mt,4,2,2
2026,f,sm,mt,12,0,12
2026,f,au,mt,4,4,0
2026,f,al,mt,6,0,6
2026,f,cy,mt,7,0,7
2026,f,ge,mt,4,0,4
2026,f,cz,mt,1,0,1
2026,f,fr,mt,3,0,3
2026,f,it,mt,8,0,8
2026,f,gb,mt,1,0,1
2026,f,rs,mt,8,0,8
2026,f,ro,mt,3,0,3
2026,f,ch,cz,10,0,10
2026,f,ua,cz,8,1,7
2026,f,bg,cz,4,0,4
2026,f,az,cz,4,3,1
2026,f,ee,cz,1,0,1
2026,f,au,cz,7,0,7
2026,f,se,cz,7,0,7
2026,f,al,cz,7,0,7
2026,f,cy,cz,2,0,2
2026,f,ge,cz,1,0,1
2026,f,am,cz,5,1,4
2026,f,pl,cz,8,4,4
2026,f,dk,cz,5,0,5
2026,f,no,cz,2,0,2
2026,f,fi,cz,2,0,2
2026,f,gb,cz,8,0,8
2026,f,lv,cz,12,0,12
2026,f,md,cz,5,0,5
2026,f,lt,cz,2,0,2
2026,f,ro,cz,8,0,8
2026,f,at,cz,5,0,5
2026,f,ch,bg,12,8,4
2026,f,mt,bg,20,8,12
2026,f,ua,bg,4,4,0
2026,f,lu,bg,20,12,8
2026,f,az,bg,15,10,5
2026,f,sm,bg,18,10,8
2026,f,ee,bg,14,7,7
2026,f,il,bg,20,12,8
2026,f,au,bg,24,12,12
2026,f,de,bg,17,10,7
2026,f,be,bg,16,12,4
2026,f,pt,bg,6,6,0
2026,f,se,bg,13,8,5
2026,f,al,bg,9,6,3
2026,f,cy,bg,20,10,10
2026,f,ge,bg,9,6,3
2026,f,me,bg,12,7,5
2026,f,am,bg,22,12,10
2026,f,pl,bg,17,7,10
2026,f,gr,bg,16,10,6
2026,f,cz,bg,14,10,4
2026,f,dk,bg,24,12,12
2026,f,fr,bg,14,7,7
2026,f,no,bg,11,8,3
2026,f,it,bg,8,5,3
2026,f,fi,bg,7,7,0
2026,f,gb,bg,22,12,10
2026,f,lv,bg,11,7,4
2026,f,rs,bg,17,10,7
2026,f,md,bg,13,6,7
2026,f,hr,bg,11,7,4
2026,f,lt,bg,24,12,12
2026,f,ro,bg,12,8,4
2026,f,at,bg,12,12,0
2026,f,ROW,bg,12,12,0
2026,f,ch,hr,2,2,0
2026,f,ua,hr,8,8,0
